0 1 2 3 4
99 98 7 7 0
11 71 7 5 0
61 54 0 2 0
52 35 0 9 0
55 46 0 1 0
86 51 3 3 0
94 93 5 6 0
27 25 0 7 0
27 32 7 7 0
97 19 2 0 0
74 65 5 8 0
3 88 6 8 0
46 61 8 0 0
66 61 4 9 0
62 92 9 8 0
4 43 4 3 0
89 43 2 0 0
40 66 3 6 0
41 5 8 5 0
38 7 5 5 0
30 31 2 3 0
67 59 5 5 0
97 57 5 6 0
64 51 2 4 0
15 89 7 7 0
17 66 5 7 0
81 82 0 0 0
8 58 2 2 0
20 41 2 9 0
99 31 7 0 0
91 37 8 3 0
7 32 5 5 0
65 96 1 7 0
75 78 6 3 0
60 39 2 1 0
66 52 9 0 0
94 57 4 1 0
62 59 2 2 0
68 38 7 8 0
43 54 1 8 0
62 46 9 2 0
59 88 8 9 0
74 76 5 4 0
66 30 4 9 0
12 64 5 3 0
94 61 3 9 0
54 42 3 5 0
17 8 1 2 0
80 41 5 2 0
22 45 4 4 0
95 88 0 3 0
36 48 9 9 0
36 85 2 7 0
4 25 6 5 0
77 74 6 8 0
32 70 4 0 0
54 76 8 4 0
60 26 2 6 0
10 30 6 7 0
14 10 1 6 0
69 73 5 4 0
91 67 2 5 0
16 58 5 7 0
28 62 3 8 0
35 34 3 1 0
9 26 8 0 0
28 35 8 6 0
6 66 3 2 0
0 72 0 7 0
90 84 0 0 0
93 20 0 8 0
82 30 1 8 0
57 97 4 4 0
47 88 1 2 0
73 1 7 5 0
31 33 3 7 0
26 96 7 9 0
83 16 8 3 0
19 51 6 2 0
5 94 0 5 0
49 40 4 3 0
68 95 9 5 0
1 1 8 1 0
96 77 8 7 0
98 41 3 7 0
96 6 9 0 0
68 31 8 1 0
47 12 5 2 0
4 84 2 0 0
86 41 4 4 0
8 55 1 7 0
35 64 4 4 0
93 48 4 9 0
35 35 5 8 0
34 24 8 5 0
37 97 9 5 0
59 39 6 3 0
8 63 3 4 0
37 41 5 1 0
92 71 7 8 0
14 65 0 1 0
70 91 9 7 0
23 54 9 3 0
99 42 3 6 0
9 36 1 1 0
78 44 4 4 0
7 88 1 5 0
3 37 2 1 0
78 72 8 2 0
19 43 3 1 0
76 67 6 4 0
86 3 7 5 0
64 16 3 6 0
51 6 2 5 0
70 48 5 9 0
61 41 5 2 0
32 86 9 5 0
11 10 6 9 0
51 67 2 0 0
22 88 9 3 0
49 79 4 7 0
84 22 4 2 0
1 53 1 2 0
1 22 6 9 0
6 60 0 0 0
43 50 8 6 0
82 15 4 5 0
19 75 1 7 0
21 24 0 9 0
13 94 1 8 0
7 61 2 8 0
98 21 1 5 0
50 3 7 3 0
99 56 4 4 0
15 8 5 5 0
27 67 5 2 0
37 29 5 5 0
56 41 4 3 0
76 85 9 9 0
31 41 5 0 0
30 58 5 3 0
82 41 4 1 0
16 30 1 5 0
1 38 3 2 0
51 3 9 5 0
56 18 8 5 0
92 20 3 6 0
25 86 8 7 0
76 63 7 4 0
50 71 3 6 0
49 40 6 8 0
89 77 5 0 0
26 71 2 2 0
77 29 7 8 0
47 59 6 3 0
35 79 0 4 0
99 48 0 7 0
27 53 3 9 0
80 28 5 4 0
1 21 0 8 0
95 77 0 1 0
83 27 6 7 0
12 33 7 1 0
78 89 4 3 0
46 8 5 5 0
86 36 8 2 0
21 86 3 8 0
33 73 9 4 0
82 16 1 2 0
70 85 6 8 0
12 30 1 4 0
39 66 0 5 0
78 9 4 8 0
35 24 9 0 0
51 94 6 0 0
43 39 9 9 0
35 69 4 2 0
93 98 1 7 0
7 13 4 8 0
4 51 8 0 0
1 82 4 9 0
38 3 7 5 0
48 86 7 3 0
38 35 2 6 0
89 16 8 7 0
22 58 1 8 0
85 12 8 4 0
64 83 4 8 0
29 42 5 1 0
50 50 9 2 0
42 31 3 6 0
98 11 3 3 0
24 82 9 8 0
23 5 5 6 0
1 90 1 9 0
60 76 3 4 0
8 61 3 0 0
41 35 6 9 0
97 42 9 0 0
58 32 3 5 0
35 79 7 0 0
7 44 2 4 0
2 4 6 1 0
57 8 6 3 0
35 59 0 1 0
7 79 3 7 0
5 37 8 2 0
51 69 1 5 0
12 38 2 9 0
14 53 8 0 0
0 82 2 9 0
93 83 9 4 0
56 53 7 1 0
51 66 6 7 0
95 4 7 6 0
63 18 6 0 0
95 87 5 3 0
45 62 1 3 0
65 89 6 5 0
83 68 2 1 0
30 4 8 5 0
93 24 5 4 0
82 4 1 5 0
38 19 6 9 0
0 50 1 6 0
76 39 4 7 0
83 58 3 4 0
18 18 7 3 0
48 58 3 3 0
91 4 5 6 0
50 49 5 4 0
80 75 0 5 0
68 92 1 6 0
76 53 9 1 0
57 74 1 1 0
82 1 3 0 0
70 14 8 6 0
27 91 3 6 0
40 80 6 8 0
90 45 8 3 0
35 71 3 7 0
2 90 8 5 0
47 68 6 4 0
20 81 2 8 0
42 4 5 8 0
80 77 7 8 0
73 77 7 5 0
57 91 7 8 0
3 14 6 4 0
11 34 6 9 0
88 0 9 3 0
6 40 3 1 0
22 74 5 8 0
13 41 0 7 0
7 57 9 0 0
28 1 0 7 0
45 67 0 8 0
54 82 4 1 0
76 37 9 3 0
91 48 8 9 0
37 42 2 1 0
89 60 4 2 0
37 11 0 1 0
67 12 1 4 0
53 87 8 0 0
65 7 0 2 0
99 93 0 5 0
7 24 9 2 0
28 91 0 0 0
46 66 0 3 0
76 20 9 7 0
40 5 7 8 0
32 4 8 2 0
14 31 1 0 0
99 56 0 3 0
90 69 5 1 0
5 36 1 2 0
63 57 0 0 0
77 8 9 9 0
70 31 1 4 0
71 88 6 7 0
0 92 6 1 0
81 83 4 6 0
73 84 6 2 0
62 59 3 9 0
93 39 6 0 0
26 2 6 0 0
91 28 0 7 0
78 34 0 7 0
24 80 6 3 0
6 89 6 3 0
36 92 9 0 0
83 24 6 3 0
47 87 5 5 0
81 95 5 9 0
30 38 8 5 0
80 90 0 0 0
71 14 2 8 0
96 46 8 1 0
69 46 2 1 0
25 25 6 2 0
89 88 1 2 0
99 86 6 7 0
80 66 2 9 0
77 26 2 9 0
90 27 1 2 0
59 73 8 5 0
57 95 0 4 0
45 59 2 1 0
17 66 1 2 0
89 14 8 0 0
80 14 3 2 0
42 37 0 3 0
42 71 5 5 0
74 52 8 8 0
98 31 6 8 0
56 72 6 6 0
63 17 8 1 0
58 68 2 2 0
11 92 8 1 0
41 9 9 1 0
24 18 0 8 0
66 19 5 0 0
16 64 3 5 0
14 15 4 3 0
91 42 8 2 0
47 11 4 0 0
63 12 3 7 0
